Timestamp,"Prior to your introduction to Data Science, which of these statements best describes your background?",How would you describe your transition into data science?,How recently have you graduated from your last degree? (in years),Have you had any experience in professional work environment (not a co-op or internship) prior to your introduction to Data Science?,Did you have another graduate degree prior to your introduction to Data Science?,I agree to the above consent form.
4/9/2018 13:55:03,I had no more than entry level knowledge of either topic.,Hard,<1,No,Yes,Yes
4/9/2018 13:58:16,I had experience with both programming and statistics.,Easy,<1,Yes,No,Yes
4/9/2018 13:58:45,I had experience with both programming and statistics.,Somewhat easy,1-3,No,No,Yes
4/9/2018 13:59:09,I had experience with programming.,Medium,1-3,Yes,Yes,Yes
4/9/2018 13:59:47,I had no more than entry level knowledge of either topic.,Hard,+5,No,No,Yes
4/9/2018 14:00:24,I had no more than entry level knowledge of either topic.,Somewhat easy,<1,No,No,Yes
4/9/2018 14:02:31,I had experience with both programming and statistics.,Easy,1-3,No,No,Yes
4/9/2018 14:02:33,I had experience with statistics.,Medium,+5,Yes,Yes,Yes
4/9/2018 14:02:50,I had experience with statistics.,Hard,<1,Yes,Yes,Yes
4/9/2018 14:02:55,I had experience with both programming and statistics.,Medium,1-3,Yes,No,Yes
4/9/2018 14:02:59,I had experience with both programming and statistics.,Somewhat hard,1-3,No,Yes,Yes
4/9/2018 14:03:37,I had experience with statistics.,Hard,<1,No,No,Yes
4/9/2018 14:04:03,I had no more than entry level knowledge of either topic.,Hard,1-3,No,No,Yes
4/9/2018 14:04:13,I had experience with both programming and statistics.,Somewhat hard,<1,No,No,Yes
4/9/2018 14:04:21,I had experience with statistics.,Medium,1-3,Yes,No,Yes
4/9/2018 14:04:22,I had no more than entry level knowledge of either topic.,Somewhat hard,1-3,Yes,No,Yes
4/9/2018 14:04:44,I had no more than entry level knowledge of either topic.,Medium,1-3,Yes,No,Yes
4/9/2018 14:05:15,I had experience with statistics.,Medium,3-5,Yes,Yes,Yes
4/9/2018 14:05:35,I had experience with programming.,Medium,1-3,Yes,No,Yes
4/9/2018 14:06:12,I had experience with statistics.,Somewhat hard,<1,No,No,Yes
4/9/2018 14:06:41,I had no more than entry level knowledge of either topic.,Somewhat hard,3-5,Yes,No,Yes
4/9/2018 14:06:56,I had experience with programming.,Somewhat hard,1-3,No,No,Yes
4/9/2018 14:07:00,I had experience with programming.,Somewhat easy,1-3,Yes,No,Yes
4/9/2018 14:08:22,I had experience with programming.,Medium,3-5,Yes,Yes,Yes
4/9/2018 14:08:26,I had no more than entry level knowledge of either topic.,Medium,1-3,No,No,Yes
4/9/2018 14:08:45,I had experience with both programming and statistics.,Somewhat hard,+5,No,Yes,Yes
4/9/2018 14:09:25,I had experience with both programming and statistics.,Hard,<1,Yes,No,
4/9/2018 14:09:37,I had experience with statistics.,Easy,1-3,Yes,Yes,Yes
4/9/2018 14:09:46,I had experience with statistics.,Somewhat hard,1-3,Yes,No,Yes
4/9/2018 14:09:49,I had experience with both programming and statistics.,Easy,1-3,Yes,No,Yes
4/9/2018 14:09:55,I had experience with statistics.,Medium,1-3,No,No,Yes
4/9/2018 14:10:01,I had experience with both programming and statistics.,Easy,1-3,No,No,Yes
4/9/2018 14:10:08,I had no more than entry level knowledge of either topic.,Easy,3-5,Yes,Yes,Yes
4/9/2018 14:11:43,I had experience with both programming and statistics.,Medium,3-5,Yes,No,Yes
4/9/2018 14:12:36,I had no more than entry level knowledge of either topic.,Easy,<1,No,No,Yes
4/9/2018 14:13:20,I had experience with both programming and statistics.,Easy,<1,Yes,Yes,Yes
4/9/2018 14:14:40,I had no more than entry level knowledge of either topic.,Medium,<1,No,No,Yes
4/9/2018 14:15:07,I had experience with both programming and statistics.,Somewhat easy,3-5,Yes,No,Yes
4/9/2018 14:18:17,I had experience with both programming and statistics.,Easy,<1,No,No,Yes
4/9/2018 14:19:30,I had experience with programming.,Medium,3-5,No,Yes,Yes
