Timestamp,I agree to the above consent form.,"Prior to your introduction to Data Science, which of these statements best describes your background?",How would you describe your transition into data science?,How recently have you graduated from your last degree? (in years),Have you had any experience in professional work environment (not a co-op or internship) prior to your introduction to Data Science?,Did you have another graduate degree prior to your introduction to Data Science?
4/9/2018 13:55:03,Yes,I had no more than entry level knowledge of either topic.,Hard,<1,No,Yes
4/9/2018 13:58:16,Yes,I had experience with both programming and statistics.,Easy,<1,Yes,No
4/9/2018 13:58:45,Yes,I had experience with both programming and statistics.,Somewhat easy,1-3,No,No
4/9/2018 13:59:09,Yes,I had experience with programming.,Medium,1-3,Yes,Yes
4/9/2018 13:59:47,Yes,I had no more than entry level knowledge of either topic.,Hard,+5,No,No
4/9/2018 14:00:24,Yes,I had no more than entry level knowledge of either topic.,Somewhat easy,<1,No,No
4/9/2018 14:02:31,Yes,I had experience with both programming and statistics.,Easy,1-3,No,No
4/9/2018 14:02:33,Yes,I had experience with statistics.,Medium,+5,Yes,Yes
4/9/2018 14:02:50,Yes,I had experience with statistics.,Hard,<1,Yes,Yes
4/9/2018 14:02:55,Yes,I had experience with both programming and statistics.,Medium,1-3,Yes,No
4/9/2018 14:02:59,Yes,I had experience with both programming and statistics.,Somewhat hard,1-3,No,Yes
4/9/2018 14:03:37,Yes,I had experience with statistics.,Hard,<1,No,No
4/9/2018 14:04:03,Yes,I had no more than entry level knowledge of either topic.,Hard,1-3,No,No
4/9/2018 14:04:13,Yes,I had experience with both programming and statistics.,Somewhat hard,<1,No,No
4/9/2018 14:04:21,Yes,I had experience with statistics.,Medium,1-3,Yes,No
4/9/2018 14:04:22,Yes,I had no more than entry level knowledge of either topic.,Somewhat hard,1-3,Yes,No
4/9/2018 14:04:44,Yes,I had no more than entry level knowledge of either topic.,Medium,1-3,Yes,No
4/9/2018 14:05:15,Yes,I had experience with statistics.,Medium,3-5,Yes,Yes
4/9/2018 14:05:35,Yes,I had experience with programming.,Medium,1-3,Yes,No
4/9/2018 14:06:12,Yes,I had experience with statistics.,Somewhat hard,<1,No,No
4/9/2018 14:06:41,Yes,I had no more than entry level knowledge of either topic.,Somewhat hard,3-5,Yes,No
4/9/2018 14:06:56,Yes,I had experience with programming.,Somewhat hard,1-3,No,No
4/9/2018 14:07:00,Yes,I had experience with programming.,Somewhat easy,1-3,Yes,No
4/9/2018 14:08:22,Yes,I had experience with programming.,Medium,3-5,Yes,Yes
4/9/2018 14:08:26,Yes,I had no more than entry level knowledge of either topic.,Medium,1-3,No,No
4/9/2018 14:08:45,Yes,I had experience with both programming and statistics.,Somewhat hard,+5,No,Yes
4/9/2018 14:09:25,,I had experience with both programming and statistics.,Hard,<1,Yes,No
4/9/2018 14:09:37,Yes,I had experience with statistics.,Easy,1-3,Yes,Yes
4/9/2018 14:09:46,Yes,I had experience with statistics.,Somewhat hard,1-3,Yes,No
4/9/2018 14:09:49,Yes,I had experience with both programming and statistics.,Easy,1-3,Yes,No
4/9/2018 14:09:55,Yes,I had experience with statistics.,Medium,1-3,No,No
4/9/2018 14:10:01,Yes,I had experience with both programming and statistics.,Easy,1-3,No,No
4/9/2018 14:10:08,Yes,I had no more than entry level knowledge of either topic.,Easy,3-5,Yes,Yes
4/9/2018 14:11:43,Yes,I had experience with both programming and statistics.,Medium,3-5,Yes,No
4/9/2018 14:12:36,Yes,I had no more than entry level knowledge of either topic.,Easy,<1,No,No
4/9/2018 14:13:20,Yes,I had experience with both programming and statistics.,Easy,<1,Yes,Yes
4/9/2018 14:14:40,Yes,I had no more than entry level knowledge of either topic.,Medium,<1,No,No
4/9/2018 14:15:07,Yes,I had experience with both programming and statistics.,Somewhat easy,3-5,Yes,No
4/9/2018 14:18:17,Yes,I had experience with both programming and statistics.,Easy,<1,No,No
4/9/2018 14:19:30,Yes,I had experience with programming.,Medium,3-5,No,Yes
4/9/2018 19:31:04,Yes,I had experience with both programming and statistics.,Easy,3-5,No,Yes
4/10/2018 7:29:17,Yes,I had experience with both programming and statistics.,Somewhat easy,<1,Yes,No
4/10/2018 13:15:54,Yes,I had no more than entry level knowledge of either topic.,Somewhat hard,<1,No,No
4/10/2018 14:02:53,Yes,I had experience with both programming and statistics.,Medium,<1,Yes,Yes
4/11/2018 16:04:08,Yes,I had experience with both programming and statistics.,Easy,1-3,Yes,Yes
